Program started.
g(n) (actual cost): 0.00, h(n) (heuristic cost): 12.00, f(n): 12.00
g(n) (actual cost): 10.97, h(n) (heuristic cost): 9.17, f(n): 20.14
g(n) (actual cost): 11.00, h(n) (heuristic cost): 9.14, f(n): 20.14
g(n) (actual cost): 11.02, h(n) (heuristic cost): 9.11, f(n): 20.14
g(n) (actual cost): 11.05, h(n) (heuristic cost): 9.08, f(n): 20.14
g(n) (actual cost): 11.08, h(n) (heuristic cost): 9.06, f(n): 20.14
g(n) (actual cost): 11.10, h(n) (heuristic cost): 9.03, f(n): 20.14
g(n) (actual cost): 11.13, h(n) (heuristic cost): 9.00, f(n): 20.14
g(n) (actual cost): 11.16, h(n) (heuristic cost): 8.98, f(n): 20.14
g(n) (actual cost): 11.18, h(n) (heuristic cost): 8.96, f(n): 20.14
g(n) (actual cost): 11.20, h(n) (heuristic cost): 8.93, f(n): 20.14
g(n) (actual cost): 11.24, h(n) (heuristic cost): 8.90, f(n): 20.14
g(n) (actual cost): 11.26, h(n) (heuristic cost): 8.87, f(n): 20.14
g(n) (actual cost): 11.29, h(n) (heuristic cost): 8.85, f(n): 20.14
g(n) (actual cost): 11.32, h(n) (heuristic cost): 8.81, f(n): 20.14
g(n) (actual cost): 11.35, h(n) (heuristic cost): 8.79, f(n): 20.14
g(n) (actual cost): 11.38, h(n) (heuristic cost): 8.76, f(n): 20.14
g(n) (actual cost): 11.43, h(n) (heuristic cost): 8.71, f(n): 20.14
g(n) (actual cost): 11.46, h(n) (heuristic cost): 8.68, f(n): 20.14
g(n) (actual cost): 11.49, h(n) (heuristic cost): 8.64, f(n): 20.14
g(n) (actual cost): 11.52, h(n) (heuristic cost): 8.62, f(n): 20.14
g(n) (actual cost): 11.55, h(n) (heuristic cost): 8.59, f(n): 20.14
g(n) (actual cost): 11.61, h(n) (heuristic cost): 8.53, f(n): 20.14
g(n) (actual cost): 11.66, h(n) (heuristic cost): 8.48, f(n): 20.14
g(n) (actual cost): 11.69, h(n) (heuristic cost): 8.45, f(n): 20.14
g(n) (actual cost): 11.72, h(n) (heuristic cost): 8.41, f(n): 20.14
g(n) (actual cost): 11.76, h(n) (heuristic cost): 8.38, f(n): 20.14
g(n) (actual cost): 11.79, h(n) (heuristic cost): 8.35, f(n): 20.14
g(n) (actual cost): 11.81, h(n) (heuristic cost): 8.32, f(n): 20.14
g(n) (actual cost): 11.85, h(n) (heuristic cost): 8.29, f(n): 20.14
g(n) (actual cost): 11.87, h(n) (heuristic cost): 8.26, f(n): 20.14
g(n) (actual cost): 11.90, h(n) (heuristic cost): 8.24, f(n): 20.14
g(n) (actual cost): 11.93, h(n) (heuristic cost): 8.21, f(n): 20.14
g(n) (actual cost): 11.95, h(n) (heuristic cost): 8.19, f(n): 20.14
g(n) (actual cost): 11.98, h(n) (heuristic cost): 8.16, f(n): 20.14
g(n) (actual cost): 12.01, h(n) (heuristic cost): 8.13, f(n): 20.14
g(n) (actual cost): 12.04, h(n) (heuristic cost): 8.10, f(n): 20.14
g(n) (actual cost): 12.06, h(n) (heuristic cost): 8.08, f(n): 20.14
g(n) (actual cost): 12.09, h(n) (heuristic cost): 8.05, f(n): 20.14
g(n) (actual cost): 12.12, h(n) (heuristic cost): 8.02, f(n): 20.14
g(n) (actual cost): 12.14, h(n) (heuristic cost): 7.99, f(n): 20.14
g(n) (actual cost): 12.17, h(n) (heuristic cost): 7.97, f(n): 20.14
g(n) (actual cost): 12.20, h(n) (heuristic cost): 7.94, f(n): 20.14
g(n) (actual cost): 12.22, h(n) (heuristic cost): 7.91, f(n): 20.14
g(n) (actual cost): 12.25, h(n) (heuristic cost): 7.89, f(n): 20.14
g(n) (actual cost): 12.28, h(n) (heuristic cost): 7.86, f(n): 20.14
g(n) (actual cost): 12.30, h(n) (heuristic cost): 7.83, f(n): 20.14
g(n) (actual cost): 12.33, h(n) (heuristic cost): 7.81, f(n): 20.14
g(n) (actual cost): 12.36, h(n) (heuristic cost): 7.78, f(n): 20.14
g(n) (actual cost): 12.39, h(n) (heuristic cost): 7.75, f(n): 20.14
g(n) (actual cost): 12.41, h(n) (heuristic cost): 7.73, f(n): 20.14
g(n) (actual cost): 12.43, h(n) (heuristic cost): 7.70, f(n): 20.14
g(n) (actual cost): 12.46, h(n) (heuristic cost): 7.68, f(n): 20.14
g(n) (actual cost): 12.49, h(n) (heuristic cost): 7.65, f(n): 20.14
g(n) (actual cost): 12.51, h(n) (heuristic cost): 7.62, f(n): 20.14
g(n) (actual cost): 12.55, h(n) (heuristic cost): 7.59, f(n): 20.14
g(n) (actual cost): 12.57, h(n) (heuristic cost): 7.57, f(n): 20.14
g(n) (actual cost): 12.61, h(n) (heuristic cost): 7.53, f(n): 20.14
g(n) (actual cost): 12.64, h(n) (heuristic cost): 7.50, f(n): 20.14
g(n) (actual cost): 12.67, h(n) (heuristic cost): 7.47, f(n): 20.14
g(n) (actual cost): 12.69, h(n) (heuristic cost): 7.45, f(n): 20.14
g(n) (actual cost): 12.72, h(n) (heuristic cost): 7.42, f(n): 20.14
g(n) (actual cost): 12.75, h(n) (heuristic cost): 7.39, f(n): 20.14
g(n) (actual cost): 12.77, h(n) (heuristic cost): 7.37, f(n): 20.14
g(n) (actual cost): 12.81, h(n) (heuristic cost): 7.33, f(n): 20.14
g(n) (actual cost): 12.83, h(n) (heuristic cost): 7.31, f(n): 20.14
g(n) (actual cost): 12.85, h(n) (heuristic cost): 7.29, f(n): 20.14
g(n) (actual cost): 12.88, h(n) (heuristic cost): 7.26, f(n): 20.14
g(n) (actual cost): 12.91, h(n) (heuristic cost): 7.23, f(n): 20.14
g(n) (actual cost): 12.93, h(n) (heuristic cost): 7.21, f(n): 20.14
g(n) (actual cost): 12.98, h(n) (heuristic cost): 7.16, f(n): 20.14
g(n) (actual cost): 13.00, h(n) (heuristic cost): 7.14, f(n): 20.14
g(n) (actual cost): 13.03, h(n) (heuristic cost): 7.11, f(n): 20.14
g(n) (actual cost): 13.06, h(n) (heuristic cost): 7.08, f(n): 20.14
g(n) (actual cost): 13.08, h(n) (heuristic cost): 7.06, f(n): 20.14
g(n) (actual cost): 13.11, h(n) (heuristic cost): 7.03, f(n): 20.14
g(n) (actual cost): 13.13, h(n) (heuristic cost): 7.01, f(n): 20.14
g(n) (actual cost): 13.16, h(n) (heuristic cost): 6.98, f(n): 20.14
g(n) (actual cost): 13.19, h(n) (heuristic cost): 6.95, f(n): 20.14
g(n) (actual cost): 13.21, h(n) (heuristic cost): 6.93, f(n): 20.14
g(n) (actual cost): 13.24, h(n) (heuristic cost): 6.90, f(n): 20.14
g(n) (actual cost): 13.27, h(n) (heuristic cost): 6.87, f(n): 20.14
g(n) (actual cost): 13.29, h(n) (heuristic cost): 6.85, f(n): 20.14
g(n) (actual cost): 13.31, h(n) (heuristic cost): 6.83, f(n): 20.14
g(n) (actual cost): 13.34, h(n) (heuristic cost): 6.80, f(n): 20.14
g(n) (actual cost): 13.37, h(n) (heuristic cost): 6.77, f(n): 20.14
g(n) (actual cost): 13.39, h(n) (heuristic cost): 6.75, f(n): 20.14
g(n) (actual cost): 13.42, h(n) (heuristic cost): 6.72, f(n): 20.14
g(n) (actual cost): 13.45, h(n) (heuristic cost): 6.69, f(n): 20.14
g(n) (actual cost): 13.49, h(n) (heuristic cost): 6.66, f(n): 20.14
g(n) (actual cost): 13.52, h(n) (heuristic cost): 6.62, f(n): 20.14
g(n) (actual cost): 13.55, h(n) (heuristic cost): 6.60, f(n): 20.14
g(n) (actual cost): 13.57, h(n) (heuristic cost): 6.57, f(n): 20.14
g(n) (actual cost): 13.60, h(n) (heuristic cost): 6.54, f(n): 20.14
g(n) (actual cost): 13.63, h(n) (heuristic cost): 6.52, f(n): 20.14
g(n) (actual cost): 13.65, h(n) (heuristic cost): 6.49, f(n): 20.14
g(n) (actual cost): 13.68, h(n) (heuristic cost): 6.46, f(n): 20.14
g(n) (actual cost): 13.71, h(n) (heuristic cost): 6.44, f(n): 20.14
g(n) (actual cost): 13.73, h(n) (heuristic cost): 6.41, f(n): 20.14
g(n) (actual cost): 13.76, h(n) (heuristic cost): 6.38, f(n): 20.14
g(n) (actual cost): 13.79, h(n) (heuristic cost): 6.36, f(n): 20.14
g(n) (actual cost): 13.81, h(n) (heuristic cost): 6.33, f(n): 20.14
g(n) (actual cost): 13.83, h(n) (heuristic cost): 6.31, f(n): 20.14
g(n) (actual cost): 13.87, h(n) (heuristic cost): 6.28, f(n): 20.14
g(n) (actual cost): 13.89, h(n) (heuristic cost): 6.25, f(n): 20.14
g(n) (actual cost): 13.92, h(n) (heuristic cost): 6.22, f(n): 20.14
g(n) (actual cost): 13.95, h(n) (heuristic cost): 6.19, f(n): 20.14
g(n) (actual cost): 13.98, h(n) (heuristic cost): 6.17, f(n): 20.14
g(n) (actual cost): 14.00, h(n) (heuristic cost): 6.15, f(n): 20.14
g(n) (actual cost): 14.03, h(n) (heuristic cost): 6.12, f(n): 20.14
g(n) (actual cost): 14.05, h(n) (heuristic cost): 6.09, f(n): 20.14
g(n) (actual cost): 14.08, h(n) (heuristic cost): 6.06, f(n): 20.14
g(n) (actual cost): 14.10, h(n) (heuristic cost): 6.04, f(n): 20.14
g(n) (actual cost): 14.13, h(n) (heuristic cost): 6.01, f(n): 20.14
g(n) (actual cost): 14.16, h(n) (heuristic cost): 5.99, f(n): 20.14
g(n) (actual cost): 14.18, h(n) (heuristic cost): 5.96, f(n): 20.14
g(n) (actual cost): 14.21, h(n) (heuristic cost): 5.93, f(n): 20.14
g(n) (actual cost): 14.24, h(n) (heuristic cost): 5.91, f(n): 20.14
g(n) (actual cost): 14.26, h(n) (heuristic cost): 5.88, f(n): 20.14
g(n) (actual cost): 14.29, h(n) (heuristic cost): 5.85, f(n): 20.15
g(n) (actual cost): 14.32, h(n) (heuristic cost): 5.83, f(n): 20.15
g(n) (actual cost): 14.34, h(n) (heuristic cost): 5.80, f(n): 20.15
g(n) (actual cost): 14.38, h(n) (heuristic cost): 5.76, f(n): 20.15
g(n) (actual cost): 14.41, h(n) (heuristic cost): 5.74, f(n): 20.15
g(n) (actual cost): 14.45, h(n) (heuristic cost): 5.69, f(n): 20.15
g(n) (actual cost): 14.48, h(n) (heuristic cost): 5.66, f(n): 20.15
g(n) (actual cost): 14.51, h(n) (heuristic cost): 5.64, f(n): 20.15
g(n) (actual cost): 14.53, h(n) (heuristic cost): 5.62, f(n): 20.15
g(n) (actual cost): 14.56, h(n) (heuristic cost): 5.59, f(n): 20.15
g(n) (actual cost): 14.58, h(n) (heuristic cost): 5.56, f(n): 20.15
g(n) (actual cost): 14.61, h(n) (heuristic cost): 5.54, f(n): 20.15
g(n) (actual cost): 14.64, h(n) (heuristic cost): 5.51, f(n): 20.15
g(n) (actual cost): 14.66, h(n) (heuristic cost): 5.48, f(n): 20.15
g(n) (actual cost): 14.69, h(n) (heuristic cost): 5.46, f(n): 20.15
g(n) (actual cost): 14.71, h(n) (heuristic cost): 5.43, f(n): 20.15
g(n) (actual cost): 14.74, h(n) (heuristic cost): 5.40, f(n): 20.15
g(n) (actual cost): 14.77, h(n) (heuristic cost): 5.38, f(n): 20.15
g(n) (actual cost): 14.79, h(n) (heuristic cost): 5.36, f(n): 20.15
g(n) (actual cost): 14.82, h(n) (heuristic cost): 5.32, f(n): 20.15
g(n) (actual cost): 14.85, h(n) (heuristic cost): 5.30, f(n): 20.15
g(n) (actual cost): 14.87, h(n) (heuristic cost): 5.27, f(n): 20.15
g(n) (actual cost): 14.90, h(n) (heuristic cost): 5.24, f(n): 20.15
g(n) (actual cost): 14.93, h(n) (heuristic cost): 5.22, f(n): 20.15
g(n) (actual cost): 14.95, h(n) (heuristic cost): 5.20, f(n): 20.15
g(n) (actual cost): 14.97, h(n) (heuristic cost): 5.17, f(n): 20.15
g(n) (actual cost): 15.00, h(n) (heuristic cost): 5.14, f(n): 20.15
g(n) (actual cost): 15.03, h(n) (heuristic cost): 5.12, f(n): 20.15
g(n) (actual cost): 15.05, h(n) (heuristic cost): 5.10, f(n): 20.15
g(n) (actual cost): 15.08, h(n) (heuristic cost): 5.07, f(n): 20.15
g(n) (actual cost): 15.11, h(n) (heuristic cost): 5.04, f(n): 20.15
g(n) (actual cost): 15.13, h(n) (heuristic cost): 5.02, f(n): 20.15
g(n) (actual cost): 15.16, h(n) (heuristic cost): 4.99, f(n): 20.15
g(n) (actual cost): 15.19, h(n) (heuristic cost): 4.96, f(n): 20.15
g(n) (actual cost): 15.21, h(n) (heuristic cost): 4.94, f(n): 20.15
g(n) (actual cost): 15.24, h(n) (heuristic cost): 4.91, f(n): 20.15
g(n) (actual cost): 15.28, h(n) (heuristic cost): 4.87, f(n): 20.15
g(n) (actual cost): 15.30, h(n) (heuristic cost): 4.84, f(n): 20.15
g(n) (actual cost): 15.33, h(n) (heuristic cost): 4.82, f(n): 20.15
g(n) (actual cost): 15.36, h(n) (heuristic cost): 4.79, f(n): 20.15
g(n) (actual cost): 15.39, h(n) (heuristic cost): 4.76, f(n): 20.15
g(n) (actual cost): 15.41, h(n) (heuristic cost): 4.74, f(n): 20.15
g(n) (actual cost): 15.44, h(n) (heuristic cost): 4.71, f(n): 20.15
g(n) (actual cost): 15.47, h(n) (heuristic cost): 4.68, f(n): 20.15
g(n) (actual cost): 15.49, h(n) (heuristic cost): 4.66, f(n): 20.15
g(n) (actual cost): 15.52, h(n) (heuristic cost): 4.63, f(n): 20.15
g(n) (actual cost): 15.54, h(n) (heuristic cost): 4.60, f(n): 20.15
g(n) (actual cost): 15.57, h(n) (heuristic cost): 4.58, f(n): 20.15
g(n) (actual cost): 15.59, h(n) (heuristic cost): 4.56, f(n): 20.15
g(n) (actual cost): 15.62, h(n) (heuristic cost): 4.53, f(n): 20.15
g(n) (actual cost): 15.65, h(n) (heuristic cost): 4.50, f(n): 20.15
g(n) (actual cost): 15.67, h(n) (heuristic cost): 4.48, f(n): 20.15
g(n) (actual cost): 15.70, h(n) (heuristic cost): 4.45, f(n): 20.15
g(n) (actual cost): 15.73, h(n) (heuristic cost): 4.42, f(n): 20.15
g(n) (actual cost): 15.75, h(n) (heuristic cost): 4.40, f(n): 20.15
g(n) (actual cost): 15.78, h(n) (heuristic cost): 4.37, f(n): 20.15
g(n) (actual cost): 15.81, h(n) (heuristic cost): 4.34, f(n): 20.15
g(n) (actual cost): 15.83, h(n) (heuristic cost): 4.32, f(n): 20.15
g(n) (actual cost): 15.86, h(n) (heuristic cost): 4.29, f(n): 20.15
g(n) (actual cost): 15.89, h(n) (heuristic cost): 4.26, f(n): 20.15
g(n) (actual cost): 15.94, h(n) (heuristic cost): 4.21, f(n): 20.15
g(n) (actual cost): 15.97, h(n) (heuristic cost): 4.18, f(n): 20.15
g(n) (actual cost): 16.00, h(n) (heuristic cost): 4.15, f(n): 20.15
g(n) (actual cost): 16.02, h(n) (heuristic cost): 4.13, f(n): 20.15
g(n) (actual cost): 16.06, h(n) (heuristic cost): 4.09, f(n): 20.15
g(n) (actual cost): 16.08, h(n) (heuristic cost): 4.07, f(n): 20.15
g(n) (actual cost): 16.11, h(n) (heuristic cost): 4.04, f(n): 20.15
g(n) (actual cost): 16.14, h(n) (heuristic cost): 4.01, f(n): 20.15
g(n) (actual cost): 16.19, h(n) (heuristic cost): 3.97, f(n): 20.15
g(n) (actual cost): 16.22, h(n) (heuristic cost): 3.93, f(n): 20.15
g(n) (actual cost): 16.25, h(n) (heuristic cost): 3.90, f(n): 20.15
g(n) (actual cost): 16.28, h(n) (heuristic cost): 3.88, f(n): 20.15
g(n) (actual cost): 16.31, h(n) (heuristic cost): 3.85, f(n): 20.15
g(n) (actual cost): 16.33, h(n) (heuristic cost): 3.82, f(n): 20.15
g(n) (actual cost): 16.35, h(n) (heuristic cost): 3.80, f(n): 20.15
g(n) (actual cost): 16.38, h(n) (heuristic cost): 3.78, f(n): 20.15
g(n) (actual cost): 16.41, h(n) (heuristic cost): 3.75, f(n): 20.15
g(n) (actual cost): 16.43, h(n) (heuristic cost): 3.72, f(n): 20.15
g(n) (actual cost): 16.46, h(n) (heuristic cost): 3.70, f(n): 20.15
g(n) (actual cost): 16.49, h(n) (heuristic cost): 3.67, f(n): 20.15
g(n) (actual cost): 16.51, h(n) (heuristic cost): 3.64, f(n): 20.15
g(n) (actual cost): 16.53, h(n) (heuristic cost): 3.62, f(n): 20.15
g(n) (actual cost): 16.56, h(n) (heuristic cost): 3.60, f(n): 20.15
g(n) (actual cost): 16.59, h(n) (heuristic cost): 3.56, f(n): 20.15
g(n) (actual cost): 16.62, h(n) (heuristic cost): 3.54, f(n): 20.15
g(n) (actual cost): 16.64, h(n) (heuristic cost): 3.52, f(n): 20.15
g(n) (actual cost): 16.67, h(n) (heuristic cost): 3.48, f(n): 20.15
g(n) (actual cost): 16.70, h(n) (heuristic cost): 3.46, f(n): 20.15
g(n) (actual cost): 16.72, h(n) (heuristic cost): 3.44, f(n): 20.15
g(n) (actual cost): 16.75, h(n) (heuristic cost): 3.41, f(n): 20.15
g(n) (actual cost): 16.77, h(n) (heuristic cost): 3.38, f(n): 20.15
g(n) (actual cost): 16.80, h(n) (heuristic cost): 3.36, f(n): 20.15
g(n) (actual cost): 16.83, h(n) (heuristic cost): 3.33, f(n): 20.16
g(n) (actual cost): 16.85, h(n) (heuristic cost): 3.30, f(n): 20.16
g(n) (actual cost): 16.87, h(n) (heuristic cost): 3.28, f(n): 20.16
g(n) (actual cost): 16.90, h(n) (heuristic cost): 3.26, f(n): 20.16
g(n) (actual cost): 16.93, h(n) (heuristic cost): 3.23, f(n): 20.16
g(n) (actual cost): 16.95, h(n) (heuristic cost): 3.20, f(n): 20.16
g(n) (actual cost): 16.98, h(n) (heuristic cost): 3.18, f(n): 20.16
g(n) (actual cost): 17.01, h(n) (heuristic cost): 3.15, f(n): 20.16
g(n) (actual cost): 17.03, h(n) (heuristic cost): 3.12, f(n): 20.16
g(n) (actual cost): 17.06, h(n) (heuristic cost): 3.09, f(n): 20.16
g(n) (actual cost): 17.10, h(n) (heuristic cost): 3.06, f(n): 20.16
g(n) (actual cost): 17.12, h(n) (heuristic cost): 3.04, f(n): 20.16
g(n) (actual cost): 17.15, h(n) (heuristic cost): 3.01, f(n): 20.16
g(n) (actual cost): 17.18, h(n) (heuristic cost): 2.98, f(n): 20.16
g(n) (actual cost): 17.20, h(n) (heuristic cost): 2.95, f(n): 20.16
g(n) (actual cost): 17.23, h(n) (heuristic cost): 2.93, f(n): 20.16
g(n) (actual cost): 17.25, h(n) (heuristic cost): 2.91, f(n): 20.16
g(n) (actual cost): 17.28, h(n) (heuristic cost): 2.88, f(n): 20.16
g(n) (actual cost): 17.30, h(n) (heuristic cost): 2.85, f(n): 20.16
g(n) (actual cost): 17.33, h(n) (heuristic cost): 2.83, f(n): 20.16
g(n) (actual cost): 17.36, h(n) (heuristic cost): 2.80, f(n): 20.16
g(n) (actual cost): 17.38, h(n) (heuristic cost): 2.77, f(n): 20.16
g(n) (actual cost): 17.41, h(n) (heuristic cost): 2.75, f(n): 20.16
g(n) (actual cost): 17.46, h(n) (heuristic cost): 2.70, f(n): 20.16
g(n) (actual cost): 17.48, h(n) (heuristic cost): 2.68, f(n): 20.16
g(n) (actual cost): 17.50, h(n) (heuristic cost): 2.65, f(n): 20.16
g(n) (actual cost): 17.53, h(n) (heuristic cost): 2.62, f(n): 20.16
g(n) (actual cost): 17.56, h(n) (heuristic cost): 2.60, f(n): 20.16
g(n) (actual cost): 17.58, h(n) (heuristic cost): 2.58, f(n): 20.16
g(n) (actual cost): 17.61, h(n) (heuristic cost): 2.55, f(n): 20.16
g(n) (actual cost): 17.64, h(n) (heuristic cost): 2.52, f(n): 20.16
g(n) (actual cost): 17.66, h(n) (heuristic cost): 2.50, f(n): 20.16
g(n) (actual cost): 17.69, h(n) (heuristic cost): 2.47, f(n): 20.16
g(n) (actual cost): 17.72, h(n) (heuristic cost): 2.44, f(n): 20.16
g(n) (actual cost): 17.74, h(n) (heuristic cost): 2.42, f(n): 20.16
g(n) (actual cost): 17.77, h(n) (heuristic cost): 2.39, f(n): 20.16
g(n) (actual cost): 17.80, h(n) (heuristic cost): 2.36, f(n): 20.16
g(n) (actual cost): 17.82, h(n) (heuristic cost): 2.34, f(n): 20.16
g(n) (actual cost): 17.85, h(n) (heuristic cost): 2.32, f(n): 20.16
g(n) (actual cost): 17.88, h(n) (heuristic cost): 2.28, f(n): 20.16
g(n) (actual cost): 17.90, h(n) (heuristic cost): 2.26, f(n): 20.16
g(n) (actual cost): 17.93, h(n) (heuristic cost): 2.23, f(n): 20.16
g(n) (actual cost): 17.97, h(n) (heuristic cost): 2.19, f(n): 20.16
g(n) (actual cost): 18.00, h(n) (heuristic cost): 2.16, f(n): 20.16
g(n) (actual cost): 18.02, h(n) (heuristic cost): 2.14, f(n): 20.16
g(n) (actual cost): 18.05, h(n) (heuristic cost): 2.11, f(n): 20.16
g(n) (actual cost): 18.08, h(n) (heuristic cost): 2.09, f(n): 20.16
g(n) (actual cost): 18.10, h(n) (heuristic cost): 2.06, f(n): 20.16
g(n) (actual cost): 18.12, h(n) (heuristic cost): 2.04, f(n): 20.16
g(n) (actual cost): 18.16, h(n) (heuristic cost): 2.01, f(n): 20.16
Node 2 reached. Time taken for this node: 5.64 seconds. Distance traveled: 18.16 meters.
Actual cost g(n): 18.16, Heuristic cost h(n): 1.98
Nodes expanded to reach node 2: 869
g(n) (actual cost): 0.00, h(n) (heuristic cost): 22.18, f(n): 22.18
g(n) (actual cost): 0.03, h(n) (heuristic cost): 22.21, f(n): 22.24
g(n) (actual cost): 0.07, h(n) (heuristic cost): 22.25, f(n): 22.32
g(n) (actual cost): 0.10, h(n) (heuristic cost): 22.27, f(n): 22.37
g(n) (actual cost): 0.12, h(n) (heuristic cost): 22.30, f(n): 22.42
g(n) (actual cost): 0.15, h(n) (heuristic cost): 22.32, f(n): 22.48
g(n) (actual cost): 0.18, h(n) (heuristic cost): 22.34, f(n): 22.52
g(n) (actual cost): 0.20, h(n) (heuristic cost): 22.36, f(n): 22.56
g(n) (actual cost): 0.23, h(n) (heuristic cost): 22.39, f(n): 22.62
g(n) (actual cost): 0.25, h(n) (heuristic cost): 22.41, f(n): 22.66
g(n) (actual cost): 0.27, h(n) (heuristic cost): 22.43, f(n): 22.70
g(n) (actual cost): 0.30, h(n) (heuristic cost): 22.45, f(n): 22.76
g(n) (actual cost): 0.33, h(n) (heuristic cost): 22.47, f(n): 22.80
g(n) (actual cost): 0.35, h(n) (heuristic cost): 22.49, f(n): 22.84
g(n) (actual cost): 0.37, h(n) (heuristic cost): 22.51, f(n): 22.87
g(n) (actual cost): 0.39, h(n) (heuristic cost): 22.53, f(n): 22.92
g(n) (actual cost): 0.42, h(n) (heuristic cost): 22.55, f(n): 22.97
g(n) (actual cost): 0.44, h(n) (heuristic cost): 22.57, f(n): 23.01
g(n) (actual cost): 0.46, h(n) (heuristic cost): 22.59, f(n): 23.06
g(n) (actual cost): 0.49, h(n) (heuristic cost): 22.61, f(n): 23.10
g(n) (actual cost): 0.50, h(n) (heuristic cost): 22.63, f(n): 23.13
g(n) (actual cost): 0.53, h(n) (heuristic cost): 22.65, f(n): 23.18
g(n) (actual cost): 0.56, h(n) (heuristic cost): 22.67, f(n): 23.23
g(n) (actual cost): 0.59, h(n) (heuristic cost): 22.70, f(n): 23.28
g(n) (actual cost): 0.62, h(n) (heuristic cost): 22.72, f(n): 23.34
g(n) (actual cost): 0.64, h(n) (heuristic cost): 22.74, f(n): 23.38
g(n) (actual cost): 0.66, h(n) (heuristic cost): 22.76, f(n): 23.41
g(n) (actual cost): 0.68, h(n) (heuristic cost): 22.78, f(n): 23.46
g(n) (actual cost): 0.71, h(n) (heuristic cost): 22.80, f(n): 23.51
g(n) (actual cost): 0.73, h(n) (heuristic cost): 22.82, f(n): 23.55
g(n) (actual cost): 0.75, h(n) (heuristic cost): 22.84, f(n): 23.59
g(n) (actual cost): 0.77, h(n) (heuristic cost): 22.85, f(n): 23.62
g(n) (actual cost): 0.79, h(n) (heuristic cost): 22.87, f(n): 23.65
g(n) (actual cost): 0.81, h(n) (heuristic cost): 22.89, f(n): 23.70
g(n) (actual cost): 0.83, h(n) (heuristic cost): 22.90, f(n): 23.73
g(n) (actual cost): 0.85, h(n) (heuristic cost): 22.91, f(n): 23.76
g(n) (actual cost): 0.86, h(n) (heuristic cost): 22.93, f(n): 23.79
g(n) (actual cost): 0.89, h(n) (heuristic cost): 22.95, f(n): 23.83
g(n) (actual cost): 0.91, h(n) (heuristic cost): 22.96, f(n): 23.87
g(n) (actual cost): 0.92, h(n) (heuristic cost): 22.98, f(n): 23.90
g(n) (actual cost): 0.95, h(n) (heuristic cost): 23.00, f(n): 23.94
g(n) (actual cost): 0.97, h(n) (heuristic cost): 23.01, f(n): 23.97
g(n) (actual cost): 0.98, h(n) (heuristic cost): 23.02, f(n): 24.00
g(n) (actual cost): 1.00, h(n) (heuristic cost): 23.04, f(n): 24.04
g(n) (actual cost): 1.02, h(n) (heuristic cost): 23.05, f(n): 24.07
g(n) (actual cost): 1.03, h(n) (heuristic cost): 23.06, f(n): 24.10
g(n) (actual cost): 1.06, h(n) (heuristic cost): 23.08, f(n): 24.14
g(n) (actual cost): 1.07, h(n) (heuristic cost): 23.09, f(n): 24.17
g(n) (actual cost): 1.09, h(n) (heuristic cost): 23.10, f(n): 24.19
g(n) (actual cost): 1.10, h(n) (heuristic cost): 23.11, f(n): 24.21
g(n) (actual cost): 1.12, h(n) (heuristic cost): 23.13, f(n): 24.25
g(n) (actual cost): 1.14, h(n) (heuristic cost): 23.14, f(n): 24.28
g(n) (actual cost): 1.15, h(n) (heuristic cost): 23.15, f(n): 24.31
g(n) (actual cost): 1.17, h(n) (heuristic cost): 23.17, f(n): 24.34
g(n) (actual cost): 1.19, h(n) (heuristic cost): 23.18, f(n): 24.37
g(n) (actual cost): 1.20, h(n) (heuristic cost): 23.19, f(n): 24.39
g(n) (actual cost): 1.22, h(n) (heuristic cost): 23.21, f(n): 24.43
g(n) (actual cost): 1.25, h(n) (heuristic cost): 23.22, f(n): 24.47
g(n) (actual cost): 1.28, h(n) (heuristic cost): 23.24, f(n): 24.52
g(n) (actual cost): 1.29, h(n) (heuristic cost): 23.25, f(n): 24.55
g(n) (actual cost): 1.30, h(n) (heuristic cost): 23.26, f(n): 24.57
g(n) (actual cost): 1.32, h(n) (heuristic cost): 23.28, f(n): 24.60
g(n) (actual cost): 1.34, h(n) (heuristic cost): 23.29, f(n): 24.62
g(n) (actual cost): 1.35, h(n) (heuristic cost): 23.29, f(n): 24.64
g(n) (actual cost): 1.37, h(n) (heuristic cost): 23.31, f(n): 24.68
g(n) (actual cost): 1.38, h(n) (heuristic cost): 23.32, f(n): 24.70
g(n) (actual cost): 1.39, h(n) (heuristic cost): 23.32, f(n): 24.71
g(n) (actual cost): 1.41, h(n) (heuristic cost): 23.34, f(n): 24.75
g(n) (actual cost): 1.42, h(n) (heuristic cost): 23.34, f(n): 24.77
g(n) (actual cost): 1.43, h(n) (heuristic cost): 23.35, f(n): 24.78
g(n) (actual cost): 1.45, h(n) (heuristic cost): 23.36, f(n): 24.81
g(n) (actual cost): 1.46, h(n) (heuristic cost): 23.37, f(n): 24.83
g(n) (actual cost): 1.47, h(n) (heuristic cost): 23.37, f(n): 24.85
g(n) (actual cost): 1.48, h(n) (heuristic cost): 23.38, f(n): 24.86
g(n) (actual cost): 1.50, h(n) (heuristic cost): 23.39, f(n): 24.89
g(n) (actual cost): 1.51, h(n) (heuristic cost): 23.40, f(n): 24.91
g(n) (actual cost): 1.52, h(n) (heuristic cost): 23.40, f(n): 24.92
g(n) (actual cost): 1.54, h(n) (heuristic cost): 23.41, f(n): 24.95
